ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region,HRAF_region
CCMCmadi1260,Ma'di,3.62499,31.8471,madi1260,,,,,,,,,,,East Tropical Africa,
CCMCmagu1243,Maguindanao,6.9453,124.509,magu1243,,,,,,,,,,,Malesia,
CCMCmaha1287,Mahasu Pahari,31.0088,77.5317,maha1287,,,,,,,,,,,Indian Subcontinent,
CCMCmaha1309,Mahafaly-Antanalana Malagasy,-24.2,44.5,maha1309,,,,,,,,,,,Western Indian Ocean,
CCMCmaka1311,Makasar,-5.65551,119.838,maka1311,,,,,,,,,,,Malesia,
CCMCmaku1246,Máku,3.969231,-64.235892,maku1246,,,,,,,,,,,Brazil,
CCMCmala1464,Malayalam,9.59208,76.7651,mala1464,,,,,,,,,,,Indian Subcontinent,
CCMCmand1415,Mandarin Chinese,40.0209,116.228,mand1415,,,,,,,,,,,China,
CCMCmang1405,Manggarai,-8.55748,120.329,mang1405,,,,,,,,,,,Malesia,
CCMCmaor1246,Maori,-38.2881,176.541,maor1246,,,,,,,,,,,New Zealand,
CCMCmapu1245,Mapudungun,-38.7392,-71.277,mapu1245,,,,,,,,,,,Southern South America,
CCMCmaqu1238,Ye'kwana,4.70705,-64.3877,maqu1238,,,,,,,,,,,Northern South America,
CCMCmara1378,Marathi,17.9344,76.6665,mara1378,,,,,,,,,,,Indian Subcontinent,
CCMCmari1278,Mari,56.02535,47.48700000000001,mari1278,,,,,,,,,,,Eastern Europe,
CCMCmart1259,Martinique Creole French,14.6369,-61.0194,mart1259,,,,,,,,,,,Caribbean,
CCMCmasa1300,Masai,-3.1419,36.4573,masa1300,,,,,,,,,,,East Tropical Africa,
CCMCmaya1287,Mayan,17.423987813269193,-92.8442033793036,maya1287,,,,,,,,,,,Mexico,
CCMCmayo1264,Mayo,26.4522,-108.981,mayo1264,,,,,,,,,,,Mexico,
CCMCmaza1291,Mazanderani,36.241,52.3009,maza1291,,,,,,,,,,,Western Asia,
CCMCmbuk1240,Mbukushu,-17.6827,22.5026,mbuk1240,,,,,,,,,,,South Tropical Africa,
CCMCmeit1246,Meitei,24.4409,93.3426,meit1246,,,,,,,,,,,Indian Subcontinent,
CCMCmelp1238,Melpa,-5.62644,144.34,melp1238,,,,,,,,,,,Papuasia,
CCMCmeri1244,Meriam,-9.59575,143.773,meri1244,,,,,,,,,,,Papuasia,
CCMCmezq1235,Mezquital Otomi,20.2274,-99.5564,mezq1235,,,,,,,,,,,Mexico,
CCMCmika1239,Mikasuki,31.5,-84.0,mika1239,,,,,,,,,,,Southeastern U.S.A.,
CCMCmikm1235,Mi'kmaq,46.0,-64.0,mikm1235,,,,,,,,,,,Eastern Canada,
CCMCmina1268,Minangkabau,-0.896,100.44,mina1268,,,,,,,,,,,Malesia,
CCMCmiri1266,Miriwung,-16.3596,128.889,miri1266,,,,,,,,,,,Australia,
CCMCmisk1235,Mískito,15.1576,-84.2942,misk1235,,,,,,,,,,,Central America,
CCMCmode1248,Modern Greek,38.36,23.13,mode1248,,,,,,,,,,,Southeastern Europe,
CCMCmong1338,Mongo,-1.54228,20.4259,mong1338,,,,,,,,,,,West-Central Tropical Africa,
CCMCmuri1262,Muria,20.1903,80.79495,muri1262,,,,,,,,,,,Indian Subcontinent,
CCMCnama1264,Nama (Namibia),-25.0747,17.9767,nama1264,,,,,,,,,,,Southern Africa,
CCMCnana1257,Nanai,48.43426,134.79726,nana1257,,,,,,,,,,,Russian Far East,
CCMCnapo1241,Napoletano,39.2288,16.4225,napo1241,,,,,,,,,,,Southeastern Europe,
CCMCnaro1249,Naro,-22.0939,20.7458,naro1249,,,,,,,,,,,Southern Africa,
CCMCndon1254,Ndonga,-17.22,17.35,ndon1254,,,,,,,,,,,South Tropical Africa,
CCMCnepa1254,Nepali,28.0,85.0,nepa1254,,,,,,,,,,,Indian Subcontinent,
CCMCngon1269,Tanzania-Mozambique Ngoni,-11.7794,37.4118,ngon1269,,,,,,,,,,,South Tropical Africa,
CCMCnias1242,Nias,0.90691,97.4961,nias1242,,,,,,,,,,,Malesia,
CCMCnica1252,Nicaragua Creole English,12.4402,-83.7386,nica1252,,,,,,,,,,,Central America,
CCMCniue1239,Niuean,-19.06,-169.86,niue1239,,,,,,,,,,,Southwestern Pacific,
CCMCnort2641,Northern Kurdish,37.0,43.0,nort2641,,,,,,,,,,,Western Asia,
CCMCnort2646,Northern Pashto,34.0,71.33,nort2646,,,,,,,,,,,Indian Subcontinent,
CCMCnort2697,North Azerbaijani,40.97768,46.4737,nort2697,,,,,,,,,,,Caucasus,
CCMCnort2745,Northern Yukaghir,70.498,157.853,nort2745,,,,,,,,,,,Siberia,
CCMCnort2775,Northwest Gbaya,5.9503,15.2569,nort2775,,,,,,,,,,,West-Central Tropical Africa,
CCMCnort2795,Zimbabwean Ndebele,-20.2513,27.4096,nort2795,,,,,,,,,,,South Tropical Africa,
CCMCnort2935,Northern Amami-Oshima,28.20991,129.45346,nort2935,,,,,,,,,,,Eastern Asia,
CCMCnort2943,North Alaskan Inupiatun,69.582,-143.77,nort2943,,,,,,,,,,,Subarctic America,
CCMCnort2961,Northwestern Ojibwa,51.6192,-87.7862,nort2961,,,,,,,,,,,Eastern Canada,
CCMCnort2972,Northern Emberá,7.12761,-77.574,nort2972,,,,,,,,,,,Western South America,
CCMCnort3139,Levantine Arabic,34.1709,36.0468,nort3139,,,,,,,,,,,Western Asia,
CCMCnort3233,Northern Sotho,-23.136205,28.3879725,nort3233,,,,,,,,,,,Southern Africa,
CCMCnorw1258,Norwegian,59.92,10.71,norw1258,,,,,,,,,,,Northern Europe,
CCMCnsen1242,Nsenga,-15.3946,31.3544,nsen1242,,,,,,,,,,,South Tropical Africa,
CCMCnubi1251,Nubian,17.908792074263246,29.90375360897506,nubi1251,,,,,,,,,,,Northeast Tropical Africa,
CCMCnucl1235,Eastern Armenian,40.0,45.0,nucl1235,,,,,,,,,,,Caucasus,
CCMCnucl1301,Turkish,39.8667,32.8667,nucl1301,,,,,,,,,,,Western Asia,
CCMCnucl1302,Georgian,41.850397,43.78613,nucl1302,,,,,,,,,,,Caucasus,
CCMCnucl1310,Burmese,20.7926,93.9665,nucl1310,,,,,,,,,,,Indo-China,
CCMCnucl1347,Wolof,15.2534,-15.383,nucl1347,,,,,,,,,,,West Tropical Africa,
CCMCnucl1643,Japanese,35.0,135.0,nucl1643,,,,,,,,,,,Eastern Asia,
